#Lattice_param_density RunID Fraction-of-void_volume% Fraction-of-1st-largest-void% Surface2volume-of-1st-largest Sn% O%
a13p7_d6p01 run1 3.42334814814816027567 1.3778370370370432 8.776173285198556 70.64254062038405 29.357459379615953
a13p7_d6p01 run10 3.17917037037036971262 2.0393777777777817 10.776162790697674 74.47543816341644 25.52456183658356
a13p7_d6p01 run2 3.45600000000001181572 1.2182222222222283 5.678018575851393 69.35558646267965 30.644413537320354
a13p7_d6p01 run3 3.16405925925927022296 2.0209185185185308 42.89473684210526 72.39808153477219 27.60191846522782
a13p7_d6p01 run4 3.02145185185186094969 2.0116740740740866 5.932075471698113 72.86336418072945 27.13663581927055
a13p7_d6p01 run5 3.10542222222223290313 1.6605333333333439 22.78472222222222 71.21167883211679 28.78832116788321
a13p7_d6p01 run6 3.33345185185184972012 3.186192592592596 15.742705570291777 73.39987325728771 26.600126742712295
a13p7_d6p01 run7 3.23377777777779141701 2.73176296296298 17.115511551155116 69.04718527965021 30.95281472034979
a13p7_d6p01 run8 3.24127407407407590342 2.836770370370376 16.609375 67.34693877551021 32.6530612244898
a13p7_d6p01 run9 3.27294814814815247427 2.5984000000000083 15.238993710691824 75.96824167312161 24.03175832687839
a13p9_d5p75 run1 4.93668148148144617684 4.6690074074073875 12.278026905829597 70.94450073173478 29.055499268265226
a13p9_d5p75 run10 4.21768888888885988667 4.096266666666633 13.657509157509157 72.59777583406223 27.402224165937774
a13p9_d5p75 run2 4.79448888888883791781 4.645599999999978 7.323529411764706 71.56046962270602 28.43953037729397
a13p9_d5p75 run3 4.42254814814811631880 4.358222222222186 11.592814371257486 70.23300047551118 29.766999524488824
a13p9_d5p75 run4 4.35451851851850392777 4.158725925925909 10.503576537911302 67.95174729511255 32.04825270488745
a13p9_d5p75 run5 4.52604444444443124657 4.305481481481463 13.825622775800712 69.02304368698992 30.97695631301008
a13p9_d5p75 run6 5.30361481481472018182 5.207674074074005 10.749700598802395 72.10274182040567 27.89725817959433
a13p9_d5p75 run7 4.25244444444444614072 3.979585185185184 14.18426103646833 69.52344836303881 30.476551636961194
a13p9_d5p75 run8 4.07173333333334661394 3.4229037037037124 13.253608247422681 65.49978301750326 34.500216982496745
a13p9_d5p75 run9 4.57454814814812227646 4.451288888888858 14.090106007067138 71.85341294930336 28.14658705069664
a14p1_d5p51 run1 6.09694814814801972445 6.075911111110987 12.122448979591837 68.72299982719889 31.277000172801106
a14p1_d5p51 run10 6.64868148148135305778 6.5782518518517294 7.684210526315789 68.14814814814815 31.85185185185185
a14p1_d5p51 run2 6.36675555555546387530 6.332681481481397 8.210980392156863 69.36307901907357 30.63692098092643
a14p1_d5p51 run3 6.74954074074063015366 6.73881481481471 7.434156378600823 66.5365536309669 33.4634463690331
a14p1_d5p51 run4 6.92977777777763865210 6.90598518518505 6.809912170639899 71.7085709695558 28.291429030444213
a14p1_d5p51 run5 6.48047407407397347551 6.271733333333235 9.578851412944394 67.74666092201637 32.253339077983625
a14p1_d5p51 run6 6.58127407407393637533 6.498992592592459 6.958894878706199 70.38354076708153 29.616459232918466
a14p1_d5p51 run7 5.82897777777769572930 5.790755555555479 14.142076502732241 66.69072536990257 33.30927463009744
a14p1_d5p51 run8 6.80702222222207132438 6.770399999999854 6.5774735532047295 71.01092223043443 28.989077769565576
a14p1_d5p51 run9 6.72512592592576539630 6.686251851851694 10.504646840148698 71.45973018822198 28.54026981177801
a14p3_d5p28 run1 8.82088888888874739501 8.81057777777768 5.859249329758713 69.63064295485636 30.369357045143637
a14p3_d5p28 run10 9.23463703703686750958 9.21235555555544 4.088917947041517 73.48879038992742 26.51120961007259
a14p3_d5p28 run2 8.30124444444431413700 8.223288888888732 5.891956211327939 68.62569060773481 31.374309392265193
a14p3_d5p28 run3 8.64906666666655418213 8.614162962962826 6.071595694899392 69.17019587083112 30.829804129168874
a14p3_d5p28 run4 8.56059259259252933592 8.553274074073993 5.304531977975434 73.70507222035606 26.29492777964394
a14p3_d5p28 run5 7.72287407407396182388 7.68785185185171 7.161252215002953 69.74741260765724 30.252587392342765
a14p3_d5p28 run6 8.33164444444437808284 8.310192592592506 7.186525612472161 69.49602122015915 30.50397877984085
a14p3_d5p28 run7 8.39780740740733897451 8.375348148148056 6.5331294597349645 66.10960757780785 33.89039242219215
a14p3_d5p28 run8 8.04631111111103679941 8.036474074073977 6.030436917034855 68.4519237483416 31.548076251658404
a14p3_d5p28 run9 8.42305185185176475984 8.409362962962854 5.234500210881484 70.80232715464754 29.197672845352457
a14p5_d5p06 run1 10.35484444444442658575 10.351022222222165 5.200489853044087 65.47598893967609 34.52401106032391
a14p5_d5p06 run10 11.24435555555547828939 11.235170370370271 3.955338266384778 69.17497733454216 30.82502266545784
a14p5_d5p06 run11 10.18420740740735380704 10.174577777777685 5.594513340849304 66.32094825621154 33.67905174378846
a14p5_d5p06 run12 10.06924444444431670015 10.04761481481464 4.761760752688172 66.12235376450691 33.87764623549309
a14p5_d5p06 run13 10.26207407407398974947 10.254103703703585 5.101659751037344 66.02629491102799 33.973705088972004
a14p5_d5p06 run14 10.13884444444437410307 10.123911111111001 5.19437522249911 67.72413793103448 32.275862068965516
a14p5_d5p06 run15 11.28945185185185124441 11.282014814814774 3.3216103655714946 72.16511403790555 27.834885962094443
a14p5_d5p06 run16 10.54506666666660674894 10.512740740740654 4.639619651347068 70.13994267408532 29.860057325914685
a14p5_d5p06 run17 9.76977777777768338185 9.765096296296159 5.965770171149145 68.48601848601848 31.513981513981513
a14p5_d5p06 run18 11.27528888888881708967 11.266637037036924 3.6103414151410194 73.25999463375369 26.74000536624631
a14p5_d5p06 run19 10.74577777777770535897 10.70557037037023 3.5109214160180766 71.50887738631937 28.491122613680638
a14p5_d5p06 run2 12.18038518518509918405 12.161688888888769 2.6359421364985165 73.73629176230554 26.263708237694466
a14p5_d5p06 run20 10.91588148148147115502 10.888651851851803 4.232531500572738 69.83909807355516 30.160901926444833
a14p5_d5p06 run3 11.16844444444434326950 11.152266666666518 3.979356568364611 75.34054810746782 24.65945189253217
a14p5_d5p06 run4 11.13069629629621714707 11.103733333333224 4.027619821283509 70.48526956428071 29.514730435719287
a14p5_d5p06 run5 11.23555555555546844889 11.225451851851728 4.2022784106696305 72.87827805373071 27.121721946269293
a14p5_d5p06 run6 9.95119999999987338554 9.94044444444427 5.5329272934906735 67.09008274093928 32.90991725906071
a14p5_d5p06 run7 10.84385185185178892123 10.821866666666573 4.345657276995305 70.73224283675486 29.267757163245143
a14p5_d5p06 run8 10.50162962962950346467 10.484888888888719 3.848094324102002 66.46682879927606 33.53317120072394
a14p5_d5p06 run9 10.80684444444438886383 10.801066666666571 4.424739195230998 73.24725274725274 26.752747252747252
a14p7_d4p86 run1 13.22586666666659771321 13.16367407407396 2.7862486640541504 66.44712081294693 33.552879187053065
a14p7_d4p86 run10 14.45591111111137376835 14.451555555555784 2.7176128093158662 75.93317671626207 24.06682328373793
a14p7_d4p86 run11 13.24530370370359980821 13.236533333333194 3.0260690172543137 68.73340476079564 31.26659523920436
a14p7_d4p86 run12 13.15917037037021735644 13.152029629629439 2.7163478260869565 69.79269034582806 30.207309654171933
