3.9375		1.1682	1.1851	1.1726	1.16255	1.14255	1.14305	1.10825	1.0822	1.09485	1.0781	1.11115
4		1.1332	1.168	1.1385	1.1377	1.1245	1.1011	1.0668	1.0643	1.06255	1.0337	1.0239
4.0625		1.0316	1.0712	1.0888	1.07805	1.03905	1.03615	0.99615	1.0101	1.0104	0.96175	0.9679
4.125		0.9436	0.9674	1.0199	0.98685	0.9534	0.9504	0.9279	0.9426	0.9348	0.90115	0.92375
4.1875		0.8969	0.9124	0.9448	0.9276	0.90055	0.9238	0.88055	0.9031	0.88165	0.88675	0.86285
4.25		0.8939	0.9161	0.9168	0.8866	0.88515	0.9127	0.868	0.89705	0.8786	0.868	0.86325
4.3125		0.9378	0.9108	0.9341	0.8998	0.9117	0.924	0.89735	0.9291	0.91865	0.88505	0.8964
4.375		0.9652	0.9368	0.9537	0.9337	0.94725	0.9607	0.93535	0.97625	0.96815	0.93655	0.95265
4.4375		0.9736	0.9848	0.9624	0.97155	0.9976	1.0048	0.9902	1.0089	1.00205	0.9755	0.9854
4.5		1.0129	1.0141	0.9974	0.9977	1.0254	1.04455	1.01225	1.0389	1.0358	1.0232	1.03055
4.5625		1.0239	1.0138	1.0144	1.03765	1.03125	1.0623	1.06615	1.0561	1.06575	1.05065	1.05745
4.625		1.0347	1.0403	1.0418	1.0588	1.0516	1.0869	1.0854	1.069	1.08415	1.07665	1.08055
4.6875		1.0302	1.0492	1.0416	1.0704	1.06155	1.08885	1.1	1.08295	1.07665	1.09505	1.0981
4.75		1.0416	1.0416	1.0558	1.08145	1.05145	1.0779	1.0947	1.07575	1.08095	1.10495	1.1052
4.8125		1.0516	1.0386	1.056	1.0594	1.0583	1.0642	1.07755	1.0658	1.0727	1.10865	1.09995
4.875		1.0445	1.023	1.0496	1.05235	1.04875	1.0629	1.06765	1.04705	1.07315	1.10705	1.0907
4.9375		1.0555	1.0256	1.0356	1.0389	1.0393	1.0443	1.0545	1.04905	1.05715	1.08435	1.0914
5		1.0399	1.0308	1.0254	1.01895	1.02535	1.0311	1.04835	1.03865	1.05385	1.06415	1.0774
5.0625		1.0361	1.0463	1.003	1.0161	1.03045	1.02975	1.03425	1.0241	1.0452	1.0488	1.06015
5.125		1.0342	1.0339	1.0301	1.02565	1.0228	1.0179	1.02905	1.0136	1.0251	1.0308	1.05415
5.1875		1.0475	1.0293	1.0306	1.0344	1.0303	1.02545	1.00905	1.0126	1.03585	1.01215	1.03885
5.25		1.0396	1.0374	1.0518	1.04225	1.0495	1.01765	1.01965	1.0203	1.0225	1.0164	1.01775
5.3125		1.0494	1.0363	1.0303	1.0416	1.0521	1.0181	1.0258	1.02525	1.0292	1.0196	1.0154
5.375		1.0439	1.0436	1.043	1.0399	1.053	1.0297	1.02395	1.02815	1.04195	1.0266	1.03855
5.4375		1.0356	1.0421	1.0413	1.03405	1.06105	1.0607	1.04625	1.0318	1.04905	1.04665	1.03845
5.5		1.0065	1.0432	1.0536	1.0331	1.0503	1.0568	1.05795	1.043	1.04955	1.03985	1.03765
5.5625		1.0018	1.0306	1.0585	1.04875	1.0535	1.06615	1.0642	1.06665	1.0524	1.0422	1.033
5.625		0.9909	1.0234	1.0344	1.04225	1.04255	1.0652	1.05825	1.0551	1.03875	1.0441	1.0299
5.6875		0.9648	1.0078	1.0332	1.0325	1.0445	1.0589	1.0541	1.04845	1.0324	1.05375	1.0334
