1.04999995 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
1.09999990 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
1.14999998 5.50724653E-05 6.66666674E-05 2.02898555E-05 2.31884060E-05 1.37681163E-05 1.40096618E-05 4.10628036E-06 1.69082125E-06 7.72946896E-06 4.29153124E-06 2.89855075E-06 5.55555562E-06 1.40096618E-05 8.45410614E-06 3.14009662E-06 1.93236724E-06 4.58937211E-06 7.00891951E-06 7.00483088E-06 
1.19999993 2.37681161E-04 2.55555555E-04 7.87439640E-05 9.51690818E-05 7.14975831E-05 7.02898542E-05 2.97101451E-05 3.84057967E-05 4.54106266E-05 2.90309472E-05 2.51207730E-05 4.49275358E-05 6.20772917E-05 4.37198069E-05 2.51207730E-05 1.71497577E-05 2.34299514E-05 4.06033942E-05 2.94685997E-05 
1.25000000 2.76811596E-04 2.76811596E-04 1.05797102E-04 1.07729466E-04 8.09178746E-05 8.04347801E-05 4.17874398E-05 3.86473439E-05 5.48309181E-05 3.66042368E-05 4.29951688E-05 6.13526572E-05 6.69082146E-05 5.16908221E-05 4.03381637E-05 3.26086956E-05 3.91304347E-05 5.51046069E-05 5.16908221E-05 
1.29999995 2.48309167E-04 3.12560383E-04 1.11594200E-04 1.08212560E-04 1.02173915E-04 1.07004831E-04 6.54589385E-05 4.87922698E-05 6.73913019E-05 5.25081487E-05 5.36231892E-05 7.72946878E-05 9.71014524E-05 7.10144959E-05 5.38647328E-05 5.12077277E-05 5.26570038E-05 7.15393180E-05 6.95652197E-05 
1.34999990 2.64251197E-04 3.01449269E-04 1.51207729E-04 1.55072470E-04 1.39613519E-04 1.50724634E-04 9.61352634E-05 7.29468593E-05 1.00966186E-04 8.05293239E-05 8.76811609E-05 1.14009665E-04 1.27294683E-04 9.13043477E-05 6.08695664E-05 8.47826086E-05 7.53623171E-05 1.02716920E-04 1.19565215E-04 
1.39999998 2.85024144E-04 3.21739120E-04 1.99033821E-04 2.06763289E-04 1.72946864E-04 1.68840575E-04 1.23913051E-04 1.03864731E-04 1.09661836E-04 1.12084701E-04 1.30917877E-04 1.66183570E-04 1.57246381E-04 1.18599033E-04 9.20289822E-05 1.21497585E-04 1.01449274E-04 1.45978876E-04 1.42028992E-04 
1.44999993 3.49275360E-04 3.93236725E-04 2.85507238E-04 2.49758450E-04 2.26328499E-04 2.35990345E-04 1.79951690E-04 1.29468594E-04 1.64734302E-04 1.65855061E-04 2.06521741E-04 2.16908214E-04 2.20048314E-04 1.83574884E-04 1.32367146E-04 1.64734302E-04 1.46618360E-04 2.26218923E-04 2.19806767E-04 
1.50000000 4.51207743E-04 5.17874374E-04 3.83574865E-04 3.34782613E-04 3.02657019E-04 3.17391299E-04 2.49275356E-04 2.17391309E-04 2.29227051E-04 2.51180812E-04 2.73188401E-04 2.99033825E-04 3.03864741E-04 2.55072460E-04 1.99275368E-04 2.32850245E-04 2.27053140E-04 3.04283778E-04 2.88888899E-04 
1.54999995 5.99033840E-04 6.42995175E-04 5.57487947E-04 4.50724649E-04 4.17391304E-04 4.31884051E-04 3.89613531E-04 3.34541051E-04 3.28985509E-04 3.43827385E-04 4.28743951E-04 4.32850240E-04 4.42995166E-04 3.68357491E-04 3.28985509E-04 3.31159419E-04 3.37681151E-04 4.14009613E-04 4.19323682E-04 
1.59999990 7.77294685E-04 8.81642511E-04 7.31884036E-04 6.78743934E-04 5.78985491E-04 6.42995175E-04 5.29951707E-04 4.87439625E-04 4.42512071E-04 5.15236170E-04 5.65942028E-04 6.29227026E-04 6.82125625E-04 5.26811578E-04 4.63043485E-04 4.77053138E-04 5.45410614E-04 6.30561088E-04 6.03623164E-04 
1.64999998 1.05507241E-03 1.27632846E-03 1.00289856E-03 9.68115928E-04 8.54830898E-04 8.85024143E-04 7.70289858E-04 7.43236742E-04 6.52415445E-04 7.15171045E-04 8.14009691E-04 9.09661816E-04 9.79951699E-04 8.40821245E-04 6.77777804E-04 7.17391318E-04 8.22946837E-04 8.73698038E-04 8.91304342E-04 
1.70000005 1.44299516E-03 1.90579705E-03 1.47487922E-03 1.34734297E-03 1.20144931E-03 1.23067631E-03 1.07898552E-03 1.05893717E-03 9.82367201E-04 1.07818411E-03 1.23550720E-03 1.32173917E-03 1.46207726E-03 1.25314004E-03 9.86714964E-04 1.04879227E-03 1.20724633E-03 1.31550163E-03 1.38285023E-03 
1.75000000 2.16425117E-03 2.57874397E-03 2.08985503E-03 1.97729468E-03 1.69251207E-03 1.90072460E-03 1.59371982E-03 1.61256036E-03 1.53140095E-03 1.57574937E-03 1.83140102E-03 1.95845403E-03 2.27318844E-03 1.82850240E-03 1.54444447E-03 1.58260867E-03 1.79202901E-03 1.96346431E-03 2.13405793E-03 
1.79999995 3.32705304E-03 3.56086949E-03 3.12560378E-03 3.03913048E-03 2.57053133E-03 2.87367147E-03 2.35048309E-03 2.58236704E-03 2.27777776E-03 2.41007353E-03 2.78429943E-03 2.93816417E-03 3.49492743E-03 2.93140090E-03 2.45917868E-03 2.53381650E-03 2.80942023E-03 3.15860589E-03 3.32294684E-03 
