4.25		0.8584	0.83	0.88	0.8526	0.9065	0.8914	0.8922	0.8641	0.8739	0.9278
4.3125		0.8853	0.8233	0.8676	0.8726	0.8964	0.8774	0.9034	0.8667	0.9076	0.9248
4.375		0.8946	0.8468	0.8833	0.8791	0.901	0.9095	0.9192	0.8966	0.938	0.9822
4.4375		0.9245	0.8691	0.9115	0.9231	0.9325	0.9329	0.9561	0.9303	0.9916	1.023
4.5		0.9593	0.9225	0.9431	0.9989	0.9553	0.9754	1.001	0.9633	1.0084	1.0518
4.5625		0.9911	0.9693	1.0038	1.0449	1.0025	1.0197	1.0017	1.0293	1.0632	1.0946
4.625		1.0292	1.0102	1.0399	1.0843	1.0562	1.0441	1.0162	1.0812	1.07	1.1553
4.6875		1.045	1.045	1.0689	1.0858	1.0768	1.0946	1.0592	1.1415	1.1289	1.1926
4.75		1.0406	1.0528	1.0791	1.0803	1.0985	1.091	1.082	1.1553	1.1806	1.2046
4.8125		1.0496	1.0588	1.0811	1.0863	1.0723	1.0604	1.0931	1.1596	1.1776	1.207
4.875		1.0539	1.0684	1.0771	1.068	1.0785	1.059	1.1063	1.1357	1.155	1.2049
4.9375		1.0496	1.0546	1.057	1.0725	1.0482	1.0586	1.1012	1.1168	1.1717	1.1984
5		1.0249	1.0443	1.0447	1.061	1.0255	1.0351	1.0767	1.1045	1.1405	1.197
5.0625		1.0318	1.0416	1.0199	1.0552	1.0072	1.0045	1.0779	1.0757	1.1281	1.1807
5.125		1.0467	1.0381	1.0101	1.0335	1.0127	0.9887	1.0682	1.054	1.0926	1.1656
5.1875		1.0414	1.0358	1.0072	1.025	1.0094	0.9823	1.0383	1.0463	1.0836	1.1212
5.25		1.0443	1.0176	1.0301	1.0028	0.9859	0.9881	1.0323	1.0114	1.0418	1.0886
5.3125		1.0443	1.0245	1.0367	1.01	0.9797	0.9893	1.0154	1.005	1.0155	1.0565
5.375		1.0342	1.0217	1.0267	1.0052	0.9866	0.9898	1.0136	0.9787	0.9894	1.0146
5.4375		1.0348	1.0252	1.0156	0.9939	1.0072	0.9938	1.0186	0.9668	0.9806	0.987
5.5		1.0251	1.0167	1.0164	0.9876	0.9986	1.0309	1.0063	1.0029	1.0117	1.0067
5.5625		1.0164	1.024	1.0316	1.0003	0.9935	1.0259	0.9997	0.994	0.9955	1.0013
5.625		1.0218	1.0072	1.0412	1.0037	1.0052	1.0182	1.0064	1.0027	0.9972	1.0416
5.6875		0.9858	1.0138	1.0138	0.985	1.0064	1.0352	0.9947	1.0174	0.9701	1.0517
5.75		0.9668	0.996	0.9919	0.9784	1.0098	1.0248	0.9895	0.9921	0.987	1.0402
5.8125		0.9536	0.9928	0.9663	0.958	0.9816	1.0035	0.9738	0.9835	0.9849	1.0235
5.875		0.9396	0.9731	0.93	0.961	0.9739	0.999	0.9419	0.9729	0.9869	1.0046
5.9375		0.9415	0.9537	0.9207	0.9455	0.9655	0.9633	0.9426	0.9753	0.9616	1.0072
6		0.9259	0.9255	0.9289	0.9256	0.9546	0.9513	0.9348	0.9471	0.9697	0.9827
6.0625		0.9191	0.9305	0.9144	0.9265	0.9513	0.9362	0.9266	0.9194	0.9442	0.9792
6.125		0.9128	0.9146	0.9083	0.9162	0.9443	0.925	0.8947	0.9242	0.9232	0.9645
6.1875		0.9481	0.9166	0.9093	0.9174	0.95	0.9196	0.9341	0.9251	0.9002	0.9532
6.25		0.9675	0.9342	0.9335	0.9269	0.9403	0.9195	0.9236	0.9262	0.8806	0.929
6.3125		0.9657	0.9398	0.9493	0.9432	0.9411	0.9414	0.9356	0.9133	0.897	0.9163
6.375		0.9629	0.9613	0.9508	0.9551	0.9444	0.9478	0.9213	0.9025	0.9065	0.9024
6.4375		0.9632	0.9787	0.9776	0.9695	0.9309	0.9461	0.9284	0.9152	0.8936	0.9285
6.5		0.979	1.0008	0.9982	0.986	0.9395	0.9464	0.9243	0.9155	0.9071	0.9256
6.5625		0.9851	0.9856	0.9917	0.991	0.9456	0.9484	0.9362	0.9213	0.9146	0.9339
6.625		0.9934	0.991	0.9935	0.9897	0.9659	0.966	0.9447	0.9302	0.9123	0.9307
6.6875		1.004	0.9924	0.9942	0.9815	0.9651	0.9594	0.954	0.9642	0.9388	0.9441
6.75		1.0105	1.0006	1.0211	0.9903	0.9867	0.9781	0.972	0.9616	0.9396	0.9526
6.8125		1.0134	1.0166	1.0153	0.9985	0.9778	0.9738	0.9641	0.9813	0.9474	0.9631
6.875		1.0254	1.0131	1.0076	0.9831	0.9922	0.97	0.9777	0.9793	0.9646	0.964
6.9375		1.0393	1.0201	1.0086	1.0061	1.0022	0.9782	0.9913	0.9855	0.9654	0.9765
7		1.0409	1.0271	1.0154	1.0173	1.0005	0.9765	0.9673	1.0004	0.9623	0.9739
7.0625		1.0383	1.0384	1.017	1.0098	1.0119	0.986	0.971	0.9809	0.9673	0.9858
7.125		1.0441	1.0296	1.0236	1.0155	1.0181	1.0019	0.986	0.9728	0.9544	0.9908
7.1875		1.0329	1.0224	1.0121	1.0136	1.0167	1.0058	0.9927	0.9873	0.978	0.985
7.25		1.034	1.025	1.0297	1.0128	1.0193	1.0023	0.9901	1.0024	0.9832	0.9967
7.3125		1.0325	1.038	1.0332	1.0258	1.0235	1.0043	1.0066	0.9868	0.9948	0.99
7.375		1.0273	1.0449	1.0244	1.0214	1.0268	1.0115	1.0158	0.9974	0.9863	0.974
7.4375		1.0296	1.0409	1.0386	1.0098	1.0326	1.0163	1.0125	1.0007	0.9936	0.9857
7.5		1.0251	1.0404	1.0328	1.0186	1.0413	1.0124	1.0174	0.995	0.9895	0.9975
7.5625		1.0305	1.0369	1.0302	1.0274	1.0412	1.0253	1.0131	0.9978	0.9855	0.9972
7.625		1.032	1.031	1.032	1.0158	1.0297	1.0365	1.0019	1.0069	0.9761	0.9823
7.6875		1.0267	1.0336	1.0217	1.0052	1.0299	1.0279	1.0086	1.0029	0.9846	0.9865
7.75		1.0171	1.0242	1.0164	1.0066	1.0264	1.0312	1.0121	0.9925	0.9816	0.9947
7.8125		1.0049	1.0141	1.0148	0.9891	1.0164	1.0256	1.0167	0.9895	1.0007	0.9963
7.875		1.0005	1.0123	1.0178	0.9976	1.018	1.0203	1.0211	0.9858	0.9924	0.9865
7.9375		0.9991	1.0147	1.0256	0.9984	1.0109	1.0219	1.0154	0.9984	0.9806	0.9827
8		0.9964	1.0021	1.0253	1.0132	1.0315	1.0159	1.0178	0.9925	0.989	0.994
