  -21.2154179       12.9785719               1           1  0.931492865       2.45398786E-02
  -21.1045551       14.4966459               1           2  0.913757682       3.49076018E-02
  -20.9126072       9.99400425               1           3  0.901221991       4.07331958E-02
  -20.6720638       15.0589151               1           4  0.896446705       4.97461893E-02
  -20.5762959       8.72332191               1           5  0.897750556       4.90797572E-02
  -20.5067711       3.04723048               1           6  0.935714245       2.65306123E-02
  -20.4309616       12.9571524               1           7  0.876796722       4.31211516E-02
  -20.4000435       4.70889521               1           8  0.904277027       3.86965387E-02
  -20.3519840       7.07822227               1           9  0.873225152       4.76673394E-02
  -20.3014927       4.31295061               1          10  0.875125945       3.52467336E-02
  -20.2749653       3.98043156               1          11  0.906344414       3.12185306E-02
  -20.2318153       7.17107391               1          12  0.866465867       5.22088371E-02
  -20.2160683       3.14304066               1          13  0.892028272       3.63269411E-02
  -20.1754284       4.50798464               1          14  0.878486156       2.98804790E-02
  -20.1557713       6.91027308               1          15  0.880952358       3.76984142E-02
  -20.1236172       5.02825785               1          16  0.875124812       4.69530448E-02
  -20.0613003       10.5274420               1          17  0.834325433       4.46428582E-02
  -20.0471973       4.24858904               1          18  0.866197169       3.52112688E-02
  -20.0433216       4.68558073               1          19  0.847440898       4.42913398E-02
  -20.0134029       7.45523596               1          20  0.863457739       4.02750485E-02
  -20.0046520       6.26244497               1          21  0.852705419       3.60721424E-02
  -19.9689808       3.18976355               1          22  0.830558240       4.79921661E-02
  -19.9283943       2.79050517               1          23  0.852736294       4.77611944E-02
  -19.9157524       4.29344940               1          24  0.828543186       4.95540127E-02
  -19.9101429       3.32494807               1          25  0.852621138       4.94559817E-02
  -19.8927650       3.53243065               1          26  0.827450991       4.80392165E-02
  -19.8825607       4.69533300               1          27  0.823874772       4.50097881E-02
  -19.8473797       5.93499136               1          28  0.836434841       4.89715934E-02
  -19.8324890       5.55816698               1          29  0.801941752       5.24271838E-02
  -19.7959118       3.52437615               1          30  0.802955687       5.41871935E-02
  -19.7669468       3.97795033               1          31  0.793573558       4.96592037E-02
  -19.7645493       2.98704433               1          32  0.814705849       5.88235296E-02
  -19.7399769       3.88290000               1          33  0.808259666       5.80137670E-02
  -19.7208405       4.48935699               1          34  0.826429904       5.22682443E-02
  -19.6785145       3.23550510               1          35  0.826693237       5.57768978E-02
  -19.6725712       4.60726976               1          36  0.801369905       5.08806296E-02
  -19.6484547       3.31072617               1          37  0.812133074       5.77299446E-02
  -19.6305714       5.08742428               1          38  0.803134143       5.58276176E-02
  -19.6252060       5.00603199               1          39  0.783495128       5.63106872E-02
  -19.5975857       5.53643656               1          40  0.801564038       6.74486756E-02
  -19.5783730       3.61691880               1          41  0.801970482       5.71428575E-02
  -19.5511742       8.47639179               1          42  0.794520557       6.65362105E-02
  -19.5443954       5.91206980               1          43  0.817288816       4.61689569E-02
  -19.5241356       3.03146911               1          44  0.811579943       4.41609398E-02
  -19.5179329       3.23670268               1          45  0.800990105       6.33663386E-02
  -19.4985294       3.60297275               1          46  0.781889021       5.55014685E-02
  -19.4941330       3.71474147               1          47  0.799216390       5.48481867E-02
  -19.4677677       3.08366632               1          48  0.787671268       5.38160503E-02
  -19.4510727       2.58297563               1          49  0.794695497       6.09037317E-02
  -19.4420013       2.46514916               1          50  0.812438309       6.51530102E-02
  -19.4391689       3.48664927               1          51  0.789008796       6.18253164E-02
  -19.4065266       5.98562384               1          52  0.783545554       6.46425039E-02
  -19.3994026       2.94107366               1          53  0.788593948       6.09636195E-02
  -19.3914013       3.94914961               1          54  0.800000012       6.66666701E-02
  -19.3868809       3.82829452               1          55  0.791338563       6.79133832E-02
  -19.3811474       3.75076222               1          56  0.803359747       7.21343905E-02
  -19.3635483       8.33613682               1          57  0.799200773       7.39260688E-02
  -19.3423080       3.49104261               1          58  0.811940312       5.77114411E-02
  -19.3342552       6.43441153               1          59  0.797443509       6.58800453E-02
  -19.3098717       3.60665655               1          60  0.789733469       7.40375146E-02
  -19.2995605       6.71231699               1          61  0.791913152       7.49506876E-02
  -19.2878456       5.39139175               1          62  0.801990032       6.86567128E-02
  -19.2834549       7.44380283               1          63  0.805362463       8.14299956E-02
  -19.2787342       3.33403301               1          64  0.805719852       6.80473298E-02
  -19.2483673       4.95029449               1          65  0.790466785       7.44786561E-02
  -19.2429047       5.64275599               1          66  0.793273926       8.70425254E-02
  -19.2176933       5.98525095               1          67  0.779081106       7.33137876E-02
  -19.2018166       6.02526712               1          68  0.779397428       6.51117563E-02
  -19.1932697       11.3852892               1          69  0.789525747       7.80632421E-02
  -19.1593933       5.17257261               1          70  0.803376377       7.74578005E-02
  -19.1399288       5.41649818               1          71  0.802219987       8.67810249E-02
  -19.1224937       8.86386967               1          72  0.808748782       8.64699855E-02
  -19.1132622       4.58608961               1          73  0.806355536       8.24230462E-02
  -19.0911446       4.27406406               1          74  0.812812805       7.80780762E-02
  -19.0724926       7.28390360               1          75  0.807192802       8.49150792E-02
  -19.0488205       10.8439245               1          76  0.809330583       9.43204910E-02
  -19.0354824       6.09337568               1          77  0.789840639       9.16334689E-02
  -19.0130920       11.4040480               1          78  0.802605212       9.31863710E-02
  -19.0016670       5.62608433               1          79  0.803180933       8.84691849E-02
  -18.9788895       5.49660635               1          80  0.797797799       8.40840787E-02
  -18.9760475       6.75282049               1          81  0.795228601      0.100397624    
  -18.9493217       6.47877741               1          82  0.808704495       9.81781408E-02
  -18.9453087       4.39007568               1          83  0.796796799       9.20920894E-02
  -18.9128113       8.83051205               1          84  0.803803742       9.30930898E-02
