2.50000000 1.15922224E-02 1.50377778E-02 1.47266667E-02 1.54344449E-02 1.69511102E-02 1.65733341E-02 1.63611118E-02 1.67988893E-02 1.49200000E-02 1.60155557E-02
2.54999995 1.31844440E-02 1.72044449E-02 1.78399999E-02 1.82722230E-02 2.04744451E-02 1.98922213E-02 1.94177777E-02 1.92622226E-02 1.81633327E-02 1.90155562E-02
2.60000014 1.48455556E-02 1.99722219E-02 2.16199998E-02 2.23322231E-02 2.49733329E-02 2.37722229E-02 2.31955554E-02 2.35644449E-02 2.24222224E-02 2.30599996E-02
2.64999986 1.74588896E-02 2.39322223E-02 2.60511115E-02 2.66855564E-02 2.96855550E-02 2.90744454E-02 2.90033333E-02 2.89611109E-02 2.84344442E-02 2.86111105E-02
2.70000005 2.09411103E-02 2.90255547E-02 3.17200013E-02 3.23966667E-02 3.68588902E-02 3.63555551E-02 3.53044458E-02 3.60688902E-02 3.54844444E-02 3.55822220E-02
2.75000000 2.56155562E-02 3.53722237E-02 3.94088887E-02 4.09366675E-02 4.53766659E-02 4.58377786E-02 4.47555557E-02 4.53211106E-02 4.52933349E-02 4.45544459E-02
2.79999995 3.16922218E-02 4.29844446E-02 4.95955572E-02 5.24377786E-02 5.76255545E-02 5.83477765E-02 5.80577776E-02 5.88377789E-02 5.85299991E-02 5.76611124E-02
2.85000014 4.04155552E-02 5.40277772E-02 6.32655546E-02 6.87577799E-02 7.40077794E-02 7.59822205E-02 7.61866644E-02 7.87033364E-02 7.70211145E-02 7.59166703E-02
2.89999986 5.34522235E-02 6.80888891E-02 8.40055570E-02 9.25566703E-02 9.88933370E-02 0.100971110 0.103914447 0.108840004 0.106782220 0.103954442
2.95000005 7.20711127E-02 8.98655578E-02 0.115523331 0.128545552 0.134246662 0.144125551 0.146846667 0.156269997 0.154361114 0.146760002
3.00000000 0.103883334 0.128047779 0.172407776 0.200555563 0.200753331 0.222985551 0.229432225 0.245317772 0.243713334 0.229848891
3.04999995 1.27722220E-02 1.26822218E-02 9.42555536E-03 7.72333331E-03 6.14666659E-03 4.95666685E-03 3.72777786E-03 3.30888899E-03 3.78777785E-03 3.28444433E-03
3.09999990 1.64944436E-02 1.59233324E-02 1.23866666E-02 9.64222196E-03 7.62888882E-03 6.21777773E-03 4.70444467E-03 3.95222241E-03 5.03222225E-03 4.11222223E-03
3.15000010 2.35511120E-02 2.23411117E-02 1.79777779E-02 1.43299997E-02 1.18255559E-02 9.27333347E-03 6.99444441E-03 5.66222239E-03 7.38666672E-03 6.08444447E-03
3.20000005 2.63800006E-02 2.57533342E-02 2.04766672E-02 1.57411117E-02 1.30277779E-02 9.85666644E-03 7.77555536E-03 6.58888882E-03 8.20777752E-03 7.15222210E-03
3.25000000 2.43933331E-02 2.31377780E-02 1.81033332E-02 1.36333331E-02 1.12011107E-02 8.21333379E-03 6.32888870E-03 5.54111134E-03 7.18777766E-03 5.87777793E-03
3.29999995 2.34155562E-02 2.08877772E-02 1.66222230E-02 1.19377775E-02 9.78666637E-03 7.24333338E-03 5.74333314E-03 4.74555558E-03 6.16333354E-03 5.26222214E-03
3.34999990 2.23433338E-02 1.96044445E-02 1.55855557E-02 1.10933334E-02 9.14222188E-03 6.94999984E-03 5.37555572E-03 4.31777770E-03 5.41000022E-03 4.82555572E-03
3.40000010 2.28355564E-02 1.86855551E-02 1.46277780E-02 1.04688890E-02 8.30444414E-03 6.57333340E-03 5.16666658E-03 4.17666649E-03 4.88888891E-03 4.30000015E-03
