6.625	  0.298	0.9637	0.9973	0.9789	1.0105
6.6875	  0.837	0.9718	1.0066	0.994	1.0207
6.75	  1.175	0.9803	1.018	1.0064	1.0215
6.8125	  1.004	0.9985	1.0251	1.0239	1.0062
6.875	  0.901	1.0055	1.0161	1.0202	0.9956
6.9375	  0.894	1.005	1.0066	1.0225	1.002
7	  0.925	1.0044	1.0035	1.0175	1.0182
7.0625	  1.053	1.0094	1.002	1.0077	1.0179
7.125	  1.175	0.9995	1.0008	1.0121	1.0242
7.1875	  1.248	0.9941	1.0015	1.0125	1.0269
7.25	  1.397	1.0025	0.9996	1.0123	1.0368
7.3125	  1.467	1.0129	1.0051	1.0081	1.0457
7.375	  1.679	1.0134	1.0092	1.016	1.0321
7.4375	  1.879	1.0098	1.0041	1.0323	1.0278
7.5	  1.730	1.0254	1.0032	1.0427	1.0294
7.5625	  1.432	1.018	1.0124	1.0477	1.0344
7.625	  1.269	1.018	1.0297	1.0367	1.0203
7.6875	  1.119	1.0182	1.0301	1.0333	1.0216
7.75	  0.884	1.0183	1.0274	1.0354	1.0205
7.8125	  0.683	1.0188	1.0214	1.0219	1.0285
7.875	  0.787	1.0232	1.0297	1.0193	1.0186
7.9375	  1.017	1.0221	1.0169	1.0075	1.0198
8	  0.883	1.0157	1.0153	1.0104	1.0194
8.0625	  0.766	1.0152	1.0181	1.0093	1.0117
8.125	  0.759	1.0245	1.0173	1.0045	1.0025
8.1875	  0.750	1.0123	1.0112	1.0089	0.9915
8.25	  0.740	1.0063	1.0139	0.9972	0.9865
8.3125	  0.873	1.0161	1.0089	0.9922	0.9853
8.375	  0.973	1.0173	1.0021	0.9917	0.9847
8.4375	  0.860	1.0083	0.9997	0.9887	0.9832
8.5	  0.698	0.9971	1.0047	0.9846	0.9781
8.5625	  0.672	0.9998	1.0036	0.9775	0.9797
8.625	  0.857	0.9881	1.0082	0.9763	0.976
8.6875	  1.071	0.9833	1.0041	0.9788	0.9721
8.75	  1.200	0.9851	0.9924	0.9796	0.9631
