a11.71_d7p17186570533785 run1 -818.1980801
a11.71_d7p17186570533785 run10 -817.8541312
a11.71_d7p17186570533785 run2 -816.5467157
a11.71_d7p17186570533785 run3 -817.5196217
a11.71_d7p17186570533785 run4 -816.5911755
a11.71_d7p17186570533785 run5 -817.1628992
a11.71_d7p17186570533785 run6 -816.486288
a11.71_d7p17186570533785 run7 -820.6764191
a11.71_d7p17186570533785 run8 -817.3455786
a11.71_d7p17186570533785 run9 -817.604673
a11.91_d6p81659590743564 run0 -822.3012202
a11.91_d6p81659590743564 run1 -822.5443505
a11.91_d6p81659590743564 run2 -822.1580707
a11.91_d6p81659590743564 run3 -820.8462758
a11.91_d6p81659590743564 run4 -822.8852761
a11.91_d6p81659590743564 run5 -821.014818
a11.91_d6p81659590743564 run6 -821.8262564
a11.91_d6p81659590743564 run7 -820.1117914
a11.91_d6p81659590743564 run8 -822.4565818
a11.91_d6p81659590743564 run9 -824.0479617
a12.11_d6p4844090688345 run1 -822.2627219
a12.11_d6p4844090688345 run10 -824.8814887
a12.11_d6p4844090688345 run2 -823.2029437
a12.11_d6p4844090688345 run3 -824.4715355
a12.11_d6p4844090688345 run4 -823.7152442
a12.11_d6p4844090688345 run5 -822.1555727
a12.11_d6p4844090688345 run6 -823.8333495
a12.11_d6p4844090688345 run7 -822.2479739
a12.11_d6p4844090688345 run8 -822.3946999
a12.11_d6p4844090688345 run9 -821.8116719
a12.31_d6p17346052013945 run1 -825.0746053
a12.31_d6p17346052013945 run10 -823.1411619
a12.31_d6p17346052013945 run2 -823.2673664
a12.31_d6p17346052013945 run3 -823.5628667
a12.31_d6p17346052013945 run4 -820.8429587
a12.31_d6p17346052013945 run5 -822.4728633
a12.31_d6p17346052013945 run6 -822.4748455
a12.31_d6p17346052013945 run7 -822.136367
a12.31_d6p17346052013945 run8 -822.6428356
a12.31_d6p17346052013945 run9 -821.922655
a12.51_d5p88207970148057 run1 -821.3900119
a12.51_d5p88207970148057 run10 -821.3475097
a12.51_d5p88207970148057 run2 -821.4787415
a12.51_d5p88207970148057 run3 -821.6266463
a12.51_d5p88207970148057 run4 -822.0367166
a12.51_d5p88207970148057 run5 -822.4356892
a12.51_d5p88207970148057 run6 -821.0680135
a12.51_d5p88207970148057 run7 -821.3127025
a12.51_d5p88207970148057 run8 -822.7788382
a12.51_d5p88207970148057 run9 -823.7506344
a12.71_d5p6087512879319 run1 -820.7994424
a12.71_d5p6087512879319 run10 -820.1323128
a12.71_d5p6087512879319 run2 -819.3442758
a12.71_d5p6087512879319 run3 -820.6691713
a12.71_d5p6087512879319 run4 -821.7398872
a12.71_d5p6087512879319 run5 -821.3958427
a12.71_d5p6087512879319 run6 -820.119124
a12.71_d5p6087512879319 run7 -821.6130969
a12.71_d5p6087512879319 run8 -821.1205196
a12.71_d5p6087512879319 run9 -822.095642
a12.91_d5p3520986176076 run1 -820.0875781
a12.91_d5p3520986176076 run10 -818.7894363
a12.91_d5p3520986176076 run2 -818.53716
a12.91_d5p3520986176076 run3 -817.4272269
a12.91_d5p3520986176076 run4 -816.8601782
a12.91_d5p3520986176076 run5 -819.3025186
a12.91_d5p3520986176076 run6 -818.8232214
a12.91_d5p3520986176076 run7 -818.0813557
a12.91_d5p3520986176076 run8 -815.8114788
a12.91_d5p3520986176076 run9 -818.2864604
