a11p96_d8p40 2.29626 0.071266 2.01033 0.00164557 0.0184185 0.00030052
a12p36_d7p61 2.17502 0.0652485 1.99553 0.00165168 0.017361 0.000283419
a12p76_d6p92 2.06975 0.0561409 1.98138 0.00156867 0.0175502 0.000281815
a12p96_d6p60 2.03406 0.0537312 1.97595 0.00150644 0.0170338 0.000275647
a13p16_d6p30 1.99394 0.0474483 1.96856 0.00140968 0.0167984 0.000267264
a13p36_d6p02 1.96915 0.0484883 1.96413 0.00145064 0.0166505 0.000264479
a13p56_d5p76 1.93893 0.046317 1.9604 0.00142855 0.0172247 0.000273392
a13p76_d5p51 1.9107 0.0435919 1.95508 0.00139478 0.0175012 0.00027648
a13p96_d5p28 1.8905 0.0432129 1.95207 0.0014073 0.017994 0.000282143
a14p36_d4p85 1.86779 0.0391316 1.94715 0.00127709 0.0175702 0.000273381
a14p76_d4p47 1.83615 0.0368262 1.94131 0.00130261 0.0173987 0.000268085
