a13p7_d6p01 2.87671 0.069879 2.15081 0.00166464 0.0128649 0.000219099
a13p9_d5p75 2.83677 0.0595619 2.14758 0.00151713 0.0119324 0.00019726
a14p1_d5p51 2.83857 0.0589964 2.14906 0.00155581 0.0111364 0.000182568
a14p3_d5p28 2.8344 0.0567784 2.15005 0.00153579 0.0107789 0.000181382
a14p5_d5p06 2.82859 0.0505139 2.14961 0.00147101 0.00983069 0.000158921
a14p7_d4p86 2.81425 0.0496918 2.14855 0.0014582 0.00964769 0.000153786
a14p9_d4p67 2.81652 0.0443847 2.14865 0.00140732 0.00909442 0.0001436
a15p1_d4p48 2.81474 0.0435021 2.1478 0.00140349 0.00864285 0.000132978
a15p3_d4p31 2.81311 0.0429893 2.14783 0.0013991 0.00832462 0.000126248
a15p5_d4p15 2.82276 0.0427021 2.14847 0.00137449 0.0083106 0.000125702
a15p7_d3p99 2.80836 0.038961 2.1467 0.00131865 0.00804721 0.00011714
a15p9_d3p84 2.80538 0.0474913 2.14685 0.0014635 0.0086752 0.000133343
a16p1_d3p70 2.79192 0.0379043 2.14407 0.00131826 0.00794044 0.000114461
a16p3_d3p57 2.79358 0.0408156 2.1449 0.00135561 0.00834442 0.000124127
a16p5_d3p44 2.81269 0.0436231 2.14671 0.00137989 0.00819186 0.000123286
a16p9_d3p20 2.80337 0.0371128 2.1443 0.00127842 0.00807332 0.000115402
a17p3_d2p98 2.80384 0.0406288 2.14469 0.00135137 0.00802646 0.000117114
a17p7_d2p78 2.79177 0.0488667 2.14349 0.00146743 0.00865642 0.000132646
a18p1_d2p60 2.79562 0.0440341 2.14381 0.00140686 0.00844294 0.000127783
