a13p10_d6p61 2.51508 0.100475 2.08587 0.00219072 0.0193362 0.000330111
a13p5_d6p04 2.47279 0.0792313 2.08068 0.00194809 0.0177057 0.000291381
a13p9_d5p53 2.43486 0.0776614 2.07569 0.00197349 0.0170094 0.000274718
a14p1_d5p30 2.39974 0.0699913 2.06971 0.00186651 0.017218 0.0002726
a14p3_d5p08 2.38823 0.0630055 2.06748 0.00174381 0.0171645 0.000267226
a14p5_d4p87 2.37946 0.065641 2.06571 0.00176774 0.0172726 0.000263771
a14p7_d4p68 2.36508 0.0604988 2.06337 0.00170895 0.0169334 0.000251345
a14p9_d4p49 2.36364 0.059778 2.06307 0.00167828 0.0170286 0.000248443
a15p1_d4p32 2.34866 0.0553441 2.05944 0.00162148 0.0168085 0.000242706
a15p5_d3p99 2.32184 0.0522664 2.05562 0.00153194 0.0173019 0.000247296
a15p9_d3p70 2.30915 0.050985 2.05279 0.00152349 0.0169369 0.000240797
a16p3_d3p43 2.30523 0.0553096 2.05237 0.00163403 0.0172691 0.000242664
a16p7_d3p19 2.32907 0.053654 2.05578 0.00159023 0.0167775 0.000237167
a17p1_d2p97 2.31737 0.0572442 2.0552 0.00163119 0.0175845 0.000251076
a17p5_d2p77 2.31801 0.0511587 2.0533 0.00152841 0.0170567 0.000243319
a17p9_d2p59 2.31003 0.0497621 2.05147 0.00151799 0.0167025 0.000229562
a18p3_d2p425 2.30981 0.053362 2.05175 0.0015996 0.0167866 0.000238616
a18p7_d2p27 2.30492 0.0515864 2.05134 0.0015182 0.0173164 0.000239198
a19p1_d2p13 2.31587 0.0528885 2.05309 0.00157349 0.0170446 0.000239745
