a12p30_d7p55 2.34296 0.0856343 2.03713 0.00191414 0.0206063 0.000332495
a12p70_d6p86 2.18785 0.090627 2.02292 0.002164 0.0213886 0.000357447
a13p1_d6p25 2.15285 0.0781837 2.01622 0.00191148 0.0206253 0.000331976
a13p5_d5p71 2.07699 0.0675365 2.00298 0.00181567 0.0206801 0.000324355
a13p9_d5p23 2.03101 0.0597883 1.99517 0.00165878 0.0212487 0.000331919
a14p3_d4p81 2.0113 0.0561157 1.98974 0.00161612 0.0207039 0.000314793
a14p7_d4p42 1.97999 0.0527017 1.98434 0.00155061 0.0206013 0.000300485
a15p1_d4p08 1.94229 0.0511799 1.97807 0.0015287 0.0215635 0.000307202
a15p5_d3p77 1.9338 0.0538251 1.97711 0.00158858 0.0216627 0.000314399
a15p9_d3p50 1.92361 0.0509064 1.97419 0.00157435 0.0218213 0.000316473
