#Initial_density ZeroPressure_density ECN(Sn-O) TV L_ave(Sn-O) TV sigma2 TV
a15p1_d4p48 4.482963896106512 2.91138 0 2.19049 0 0.00381756 0
a15p1_d4p48 4.482963896106512 2.90655 0 2.15512 0 0.00402337 0
a15p1_d4p48 4.482963896106512 2.8693 0 2.15286 0 0.00548734 0
a15p1_d4p48 4.665762909929487 2.94159 0 2.1552 0 0.00476736 0
a15p1_d4p48 4.482963896106512 2.94061 0 2.16659 0 0.00524328 0
a15p1_d4p48 4.482963896106512 2.89667 0 2.1704 0 0.00626634 0
a15p1_d4p48 4.482963896106512 2.89931 0 2.16292 0 0.006186 0
a15p1_d4p48 4.482963896106512 2.89791 0 2.17845 0 0.00363698 0
a15p1_d4p48 4.610615316883027 2.96477 0 2.15327 0 0.00382068 0
a15p1_d4p48 4.482963896106512 2.84288 0 2.14556 0 0.00648179 0
a15p1_d4p48 4.62157314358245 2.96538 0 2.15605 0 0.00594024 0
a15p1_d4p48 4.482963896106512 2.89742 0 2.17949 0 0.00530219 0
a15p1_d4p48 4.482963896106512 2.89995 0 2.14561 0 0.00344321 0
a15p1_d4p48 4.482963896106512 2.95182 0 2.16557 0 0.00310979 0
a15p1_d4p48 4.482963896106512 2.82889 0 2.17758 0 0.00605408 0
a15p1_d4p48 4.482963896106512 2.84615 0 2.15937 0 0.00508326 0
a15p3_d4p31 4.309449448961676 2.96421 0 2.14067 0 0.00636727 0
a15p3_d4p31 4.438278125168057 2.95675 0 2.14963 0 0.00360877 0
a15p3_d4p31 4.338094493355528 2.91571 0 2.14772 0 0.00373344 0
a15p3_d4p31 4.309449448961676 2.87146 0 2.17792 0 0.0050148 0
a15p3_d4p31 4.309449448961676 2.92 0 2.20759 0 0.00622632 0
a15p3_d4p31 4.411778332341446 2.92471 0 2.1487 0 0.00304435 0
a15p3_d4p31 4.309449448961676 2.85607 0 2.16929 0 0.00419062 0
a15p3_d4p31 4.309449448961676 2.78271 0 2.1683 0 0.00770128 0
a15p3_d4p31 4.309449448961676 2.92531 0 2.17924 0 0.00481499 0
a15p3_d4p31 4.549209738234901 2.92749 0 2.15216 0 0.00474607 0
a15p3_d4p31 4.400909674770808 2.98452 0 2.15522 0 0.00260094 0
a15p3_d4p31 4.436604271214458 2.94665 0 2.14996 0 0.00414891 0
a15p3_d4p31 4.309449448961676 2.86515 0 2.20016 0 0.00736043 0
a15p3_d4p31 4.6658397234181965 2.91717 0 2.14968 0 0.00748786 0
a15p3_d4p31 4.309449448961676 2.90003 0 2.18598 0 0.00306678 0
a15p3_d4p31 4.552184238845559 2.92858 0 2.14901 0 0.00384967 0
a15p3_d4p31 4.309449448961676 2.92593 0 2.20782 0 0.00479332 0
a15p3_d4p31 4.309449448961676 2.90229 0 2.20104 0 0.00284519 0
a15p3_d4p31 4.309449448961676 2.95104 0 2.17374 0 0.00275255 0
a15p3_d4p31 4.309449448961676 2.97015 0 2.16607 0 0.00396484 0
a15p5_d4p15 4.144775275503021 2.88423 0 2.206 0 0.00605266 0
a15p5_d4p15 4.144775275503021 2.83839 0 2.16632 0 0.00617888 0
a15p5_d4p15 4.144775275503021 2.90739 0 2.2023 0 0.00400386 0
a15p5_d4p15 4.144775275503021 2.82692 0 2.17115 0 0.00541321 0
a15p5_d4p15 4.144775275503021 2.96904 0 2.18654 0 0.00442082 0
a15p5_d4p15 4.408976806211439 2.98129 0 2.15319 0 0.00540629 0
a15p5_d4p15 4.405838552810658 2.96958 0 2.16002 0 0.00361229 0
a15p5_d4p15 4.144775275503021 2.89202 0 2.18618 0 0.00666214 0
a15p5_d4p15 4.334736740834928 2.92788 0 2.14886 0 0.00338396 0
a15p5_d4p15 4.144775275503021 2.909 0 2.19568 0 0.00508964 0
a15p5_d4p15 4.144775275503021 2.91377 0 2.20415 0 0.00448216 0
a15p5_d4p15 4.144775275503021 2.87631 0 2.17362 0 0.00649141 0
a15p5_d4p15 4.310624454930961 2.93765 0 2.14979 0 0.00273193 0
a15p5_d4p15 4.144775275503021 2.87773 0 2.17986 0 0.00395109 0
a15p5_d4p15 4.112278948045959 2.91101 0 2.14802 0 0.00324424 0
a15p5_d4p15 4.144775275503021 2.93246 0 2.18534 0 0.00795844 0
a15p5_d4p15 4.4712421282156045 2.92042 0 2.15124 0 0.00655688 0
a15p5_d4p15 4.144775275503021 2.89672 0 2.17831 0 0.00882226 0
a15p5_d4p15 4.403031289924307 2.93595 0 2.14833 0 0.00333705 0
a15p5_d4p15 4.144775275503021 2.93019 0 2.18651 0 0.00441571 0
a15p7_d3p99 3.9883854744986014 2.82004 0 2.21911 0 0.00762748 0
a15p7_d3p99 4.329205675270675 2.95301 0 2.14841 0 0.00243522 0
a15p7_d3p99 4.311861507136747 2.91623 0 2.14818 0 0.00231072 0
a15p7_d3p99 3.9883854744986014 2.92719 0 2.19 0 0.00725912 0
a15p7_d3p99 3.9883854744986014 2.91661 0 2.20132 0 0.00334593 0
a15p7_d3p99 3.9883854744986014 2.89961 0 2.19645 0 0.00463654 0
a15p7_d3p99 3.9883854744986014 2.85601 0 2.21823 0 0.00820195 0
a15p7_d3p99 3.9883854744986014 2.8983 0 2.17441 0 0.00398115 0
a15p7_d3p99 3.9883854744986014 2.90811 0 2.20322 0 0.00761817 0
a15p7_d3p99 4.321491327468667 2.9166 0 2.14977 0 0.00453401 0
a15p7_d3p99 3.9883854744986014 2.87123 0 2.20341 0 0.00326052 0
a15p7_d3p99 3.9883854744986014 2.93855 0 2.20384 0 0.00645525 0
a15p7_d3p99 3.9883854744986014 2.84373 0 2.18206 0 0.00912319 0
a15p7_d3p99 3.9883854744986014 2.86679 0 2.19282 0 0.00320495 0
a15p7_d3p99 3.9883854744986014 2.75346 0 2.2268 0 0.0140855 0
a15p7_d3p99 4.272590468294286 2.89253 0 2.14749 0 0.00489251 0
a15p7_d3p99 4.326491615309883 2.91353 0 2.14775 0 0.00347536 0
a15p7_d3p99 4.121153850261153 2.96351 0 2.15103 0 0.00303692 0
a15p7_d3p99 3.9883854744986014 2.74528 0 2.20665 0 0.0122242 0
a15p7_d3p99 3.9883854744986014 2.89822 0 2.21587 0 0.00654313 0
a15p9_d3p84 3.8397655705999933 2.84332 0 2.21311 0 0.0059439 0
a15p9_d3p84 4.270804585794925 2.9442 0 2.14775 0 0.00304481 0
a15p9_d3p84 3.8397655705999933 2.89844 0 2.22037 0 0.00943817 0
a15p9_d3p84 4.061237533828144 2.92718 0 2.15166 0 0.00559039 0
a15p9_d3p84 4.129831661944576 2.96855 0 2.15158 0 0.00435777 0
a15p9_d3p84 3.8397655705999933 2.88036 0 2.179 0 0.0085828 0
a15p9_d3p84 4.263661981575605 2.91677 0 2.15033 0 0.00606704 0
a15p9_d3p84 3.908896124658645 2.91297 0 2.1477 0 0.00251371 0
a15p9_d3p84 4.153567163400145 2.9423 0 2.1563 0 0.00703612 0
a15p9_d3p84 3.8397655705999933 2.8781 0 2.19718 0 0.00575628 0
a15p9_d3p84 3.8397655705999933 2.89624 0 2.21522 0 0.00569918 0
a15p9_d3p84 4.294179072363547 2.95811 0 2.15528 0 0.00542997 0
a15p9_d3p84 3.9112408864718464 2.93005 0 2.14907 0 0.00311642 0
a15p9_d3p84 4.392184527521254 2.90527 0 2.14937 0 0.00419363 0
a15p9_d3p84 3.8397655705999933 2.97754 0 2.22784 0 0.00302724 0
a15p9_d3p84 4.20838575350146 2.9613 0 2.15353 0 0.00423265 0
a15p9_d3p84 4.198086018057312 2.89219 0 2.1467 0 0.00356848 0
a15p9_d3p84 3.8397655705999933 2.72661 0 2.17825 0 0.0124149 0
a15p9_d3p84 3.8397655705999933 2.84013 0 2.1735 0 0.00665247 0
a15p9_d3p84 4.230087029563964 2.9302 0 2.15207 0 0.00378946 0
a16p1_d3p70 4.286195873859581 2.93063 0 2.14557 0 0.00235113 0
a16p1_d3p70 4.379830987625505 2.93275 0 2.15303 0 0.00534136 0
a16p1_d3p70 3.99070721885317 2.89619 0 2.14524 0 0.00482784 0
a16p1_d3p70 3.698438957037355 2.8345 0 2.25399 0 0.00903247 0
a16p1_d3p70 3.9047436180913584 2.88975 0 2.14127 0 0.00368818 0
a16p1_d3p70 3.698438957037355 2.8157 0 2.18866 0 0.00615151 0
a16p1_d3p70 4.200438205408219 2.9048 0 2.14541 0 0.00506998 0
a16p1_d3p70 4.262702679768645 2.89839 0 2.14475 0 0.00321515 0
a16p1_d3p70 4.091451809688837 2.95321 0 2.15684 0 0.00455411 0
a16p1_d3p70 3.698438957037355 2.77576 0 2.2007 0 0.00880673 0
a16p1_d3p70 4.06333417468749 2.88472 0 2.14043 0 0.00403688 0
a16p1_d3p70 3.698438957037355 2.87613 0 2.20915 0 0.00604463 0
a16p1_d3p70 4.105932608728462 2.92089 0 2.14443 0 0.00285989 0
a16p1_d3p70 4.088990591569878 2.93912 0 2.15145 0 0.00390026 0
a16p1_d3p70 4.095408427080219 2.87415 0 2.14209 0 0.00427528 0
a16p1_d3p70 3.698438957037355 2.89204 0 2.24114 0 0.00539503 0
a16p1_d3p70 3.698438957037355 2.93065 0 2.20326 0 0.00480141 0
a16p1_d3p70 4.014633258981387 2.88457 0 2.14247 0 0.00239416 0
a16p1_d3p70 3.698438957037355 2.85 0 2.18765 0 0.00571607 0
a16p1_d3p70 3.698438957037355 2.84909 0 2.19959 0 0.00649415 0
a16p3_d3p57 4.123336488707688 2.95159 0 2.15102 0 0.00417489 0
a16p3_d3p57 3.983759553430183 2.84883 0 2.14179 0 0.00692477 0
a16p3_d3p57 3.9998752732661 2.92492 0 2.14192 0 0.00254 0
a16p3_d3p57 3.5639636831853285 2.67454 0 2.18992 0 0.0156318 0
a16p3_d3p57 3.5639636831853285 2.90802 0 2.24874 0 0.0029599 0
a16p3_d3p57 3.9789349410886414 2.95592 0 2.14961 0 0.00330422 0
a16p3_d3p57 4.101689351176802 2.94866 0 2.14553 0 0.00319271 0
a16p3_d3p57 3.9975624542812955 2.93531 0 2.15345 0 0.00308336 0
a16p3_d3p57 3.5639636831853285 2.85965 0 2.18304 0 0.00714005 0
a16p3_d3p57 4.100541915259599 2.90191 0 2.14433 0 0.00370736 0
a16p3_d3p57 4.024561792887763 2.94871 0 2.15301 0 0.00522928 0
a16p3_d3p57 3.690948398079161 2.90071 0 2.14423 0 0.00386835 0
a16p3_d3p57 3.704202295522049 2.90094 0 2.14287 0 0.00263235 0
a16p3_d3p57 3.5639636831853285 2.88543 0 2.21645 0 0.00490183 0
a16p3_d3p57 3.5639636831853285 2.8751 0 2.24723 0 0.00566191 0
a16p3_d3p57 3.82287825293646 2.97996 0 2.15871 0 0.00437908 0
a16p3_d3p57 3.5639636831853285 2.84147 0 2.21229 0 0.00661999 0
a16p3_d3p57 3.5639636831853285 2.91539 0 2.20771 0 0.0050536 0
a16p3_d3p57 4.074728265567215 2.88725 0 2.14288 0 0.00282953 0
a16p3_d3p57 4.0358068423300955 2.92494 0 2.14423 0 0.00487302 0
a16p5_d3p44 3.667479169472124 2.93462 0 2.14677 0 0.00292376 0
a16p5_d3p44 3.83067729778606 2.91369 0 2.1419 0 0.00207744 0
a16p5_d3p44 3.9244158766537773 2.93053 0 2.14833 0 0.00381756 0
a16p5_d3p44 3.7182449688292745 2.96205 0 2.15187 0 0.00433554 0
a16p5_d3p44 3.9356944897837867 2.995 0 2.16086 0 0.00404428 0
a16p5_d3p44 3.6828724451531936 2.92272 0 2.14737 0 0.00412725 0
a16p5_d3p44 3.4359295498375073 2.52191 0 2.26858 0 0.0283517 0
a16p5_d3p44 3.904913142028046 2.96673 0 2.15585 0 0.00554378 0
a16p5_d3p44 4.021144328893173 2.90638 0 2.14503 0 0.00401693 0
a16p5_d3p44 3.5683887100418485 2.90977 0 2.14578 0 0.00396092 0
a16p5_d3p44 3.4359295498375073 2.877 0 2.23151 0 0.0113215 0
a16p5_d3p44 3.4359295498375073 2.87526 0 2.26121 0 0.00629408 0
a16p5_d3p44 3.4359295498375073 2.85335 0 2.20775 0 0.00377039 0
a16p5_d3p44 3.5684355422560334 2.95905 0 2.15481 0 0.00343823 0
a16p5_d3p44 3.6792068289018847 2.95932 0 2.15453 0 0.00571386 0
a16p5_d3p44 3.9423891736822987 2.96793 0 2.15435 0 0.00558062 0
a16p5_d3p44 3.4359295498375073 2.75324 0 2.24178 0 0.0127083 0
a16p5_d3p44 3.4359295498375073 2.84206 0 2.21386 0 0.00916586 0
a16p5_d3p44 3.4359295498375073 2.83763 0 2.21559 0 0.00730622 0
a16p5_d3p44 3.4359295498375073 2.84818 0 2.19338 0 0.00284135 0
a16p9_d3p20 3.472015686526126 2.93867 0 2.15074 0 0.00408826 0
a16p9_d3p20 3.7890883931616743 2.93742 0 2.14698 0 0.00338627 0
a16p9_d3p20 3.1976871322366005 2.90795 0 2.23877 0 0.00337646 0
a16p9_d3p20 3.6635228349380617 2.9055 0 2.14572 0 0.00272367 0
a16p9_d3p20 3.6256547295789985 2.95864 0 2.14571 0 0.00580544 0
a16p9_d3p20 3.745094411644176 2.97448 0 2.1532 0 0.00431468 0
a16p9_d3p20 3.6201993474501037 2.94808 0 2.15173 0 0.0030296 0
a16p9_d3p20 3.6876600249847025 2.93308 0 2.14388 0 0.00151008 0
a16p9_d3p20 3.661553485127705 2.8829 0 2.14082 0 0.00618315 0
a16p9_d3p20 4.0085257408881185 2.93914 0 2.14964 0 0.00415458 0
a16p9_d3p20 3.84488769522539 2.9641 0 2.15564 0 0.00489602 0
a16p9_d3p20 3.5467714627956224 2.94542 0 2.15096 0 0.00381731 0
a16p9_d3p20 3.1976871322366005 2.8398 0 2.20995 0 0.00771105 0
a16p9_d3p20 3.7423799507282123 2.93364 0 2.14778 0 0.00234552 0
a16p9_d3p20 3.608150007877662 2.93496 0 2.14515 0 0.00499935 0
a16p9_d3p20 3.610729133666371 2.91481 0 2.14781 0 0.00353759 0
a16p9_d3p20 3.579403191006085 2.94708 0 2.14806 0 0.00236038 0
a16p9_d3p20 3.685443917262136 2.86806 0 2.13734 0 0.00249403 0
a16p9_d3p20 3.827214388812658 2.95068 0 2.14742 0 0.00351513 0
a16p9_d3p20 3.7731388570780515 2.90257 0 2.14696 0 0.00503208 0
a17p3_d2p98 3.5439489717812434 2.95531 0 2.14849 0 0.00543365 0
a17p3_d2p98 3.5821606964962505 2.91691 0 2.14168 0 0.00203594 0
a17p3_d2p98 3.467766099987691 2.99392 0 2.15583 0 0.00319206 0
a17p3_d2p98 3.719316004174738 2.943 0 2.14808 0 0.0031123 0
a17p3_d2p98 3.7677903679738627 2.9324 0 2.14503 0 0.00346876 0
a17p3_d2p98 3.4072934539730606 2.9368 0 2.1451 0 0.00286727 0
a17p3_d2p98 3.541735872256307 2.93283 0 2.14711 0 0.00664063 0
a17p3_d2p98 3.3249804136651813 2.93289 0 2.15473 0 0.00638262 0
a17p3_d2p98 3.4958334783164497 2.9276 0 2.14586 0 0.00258336 0
a17p3_d2p98 3.565124687393123 2.92618 0 2.15051 0 0.00394366 0
a17p3_d2p98 3.4749201518500263 2.93542 0 2.14823 0 0.00396804 0
a17p3_d2p98 3.6613758893589496 2.91183 0 2.14351 0 0.00362861 0
a17p3_d2p98 3.502761280032504 2.89797 0 2.14437 0 0.00453278 0
a17p3_d2p98 2.980971155639409 2.87738 0 2.23229 0 0.00715767 0
a17p3_d2p98 3.2158015313580735 2.93964 0 2.14882 0 0.00425204 0
a17p3_d2p98 3.8828243387914734 2.94466 0 2.14552 0 0.00542809 0
a17p3_d2p98 3.244614594377954 2.95392 0 2.15323 0 0.003936 0
a17p3_d2p98 3.633181831848238 2.91963 0 2.14217 0 0.00350705 0
a17p3_d2p98 3.3028972848405305 2.94374 0 2.14915 0 0.00309542 0
a17p3_d2p98 3.8692892994833064 2.90797 0 2.13877 0 0.00665356 0
a17p7_d2p78 3.1750996037768915 2.95614 0 2.15313 0 0.00388793 0
a17p7_d2p78 3.1034176372529574 2.94472 0 2.14893 0 0.00504367 0
a17p7_d2p78 3.0922089103040573 2.89467 0 2.14413 0 0.00502291 0
a17p7_d2p78 3.4148334293225164 2.93073 0 2.15212 0 0.00540517 0
a17p7_d2p78 3.1345483536549033 2.90207 0 2.1419 0 0.00349735 0
a17p7_d2p78 3.18368524663129 2.90777 0 2.14558 0 0.00335545 0
a17p7_d2p78 3.349071673313129 2.94276 0 2.15009 0 0.00420513 0
a17p7_d2p78 3.3455788586789414 2.87956 0 2.14166 0 0.00353668 0
a17p7_d2p78 3.1523404773381776 2.92726 0 2.14977 0 0.00275558 0
a17p7_d2p78 3.3033458225803867 2.97135 0 2.15732 0 0.00424997 0
a17p7_d2p78 3.5439832569253436 2.94736 0 2.15083 0 0.00420982 0
a17p7_d2p78 3.415106663193162 2.97987 0 2.15308 0 0.00327988 0
a17p7_d2p78 4.007304145242536 2.68801 0 2.06493 0 0.0128252 0
a17p7_d2p78 3.1732108053103807 2.92333 0 2.15098 0 0.00549026 0
a17p7_d2p78 3.400957243754739 2.9737 0 2.15127 0 0.00471522 0
a17p7_d2p78 4.656127094964843 2.82075 0 2.06136 0 0.00654332 0
a17p7_d2p78 4.285701994803762 2.94169 0 2.15291 0 0.00355514 0
a17p7_d2p78 3.3495037280434343 2.93862 0 2.15156 0 0.00530805 0
a17p7_d2p78 3.1660707174408813 2.93376 0 2.14883 0 0.00348899 0
a17p7_d2p78 2.7834042373086603 2.90326 0 2.21665 0 0.00436467 0
a18p1_d2p60 3.031158097795351 2.8876 0 2.14102 0 0.00620771 0
a18p1_d2p60 3.0128418059745767 2.95754 0 2.15296 0 0.0056031 0
a18p1_d2p60 3.864965156512598 2.89419 0 2.14467 0 0.00449821 0
a18p1_d2p60 3.2662787487709877 2.92116 0 2.14392 0 0.00267792 0
a18p1_d2p60 3.0026761464256 2.91432 0 2.15195 0 0.00687727 0
a18p1_d2p60 3.1463115800125343 2.93887 0 2.14422 0 0.00355149 0
a18p1_d2p60 3.42354171630263 2.9217 0 2.14453 0 0.00404424 0
a18p1_d2p60 3.2909900909434824 2.98552 0 2.15527 0 0.00553764 0
a18p1_d2p60 3.2328417829610228 2.93605 0 2.14887 0 0.00535012 0
a18p1_d2p60 3.516331402389825 2.97044 0 2.15352 0 0.00408492 0
a18p1_d2p60 2.6029172318089118 2.78323 0 2.26116 0 0.00690945 0
a18p1_d2p60 3.1177511586458357 2.92914 0 2.15097 0 0.00489392 0
a18p1_d2p60 3.1466025635259864 2.91515 0 2.15129 0 0.00291472 0
a18p1_d2p60 2.6029172318089118 2.91656 0 2.24096 0 0.0054797 0
a18p1_d2p60 4.674102691948783 2.79127 0 2.04251 0 0.0105705 0
a18p1_d2p60 3.0480256191375696 2.93578 0 2.14845 0 0.00415192 0
a18p1_d2p60 3.382372959096494 2.92544 0 2.14783 0 0.00648131 0
a18p1_d2p60 3.3425071258417796 2.95818 0 2.15239 0 0.00555777 0
a18p1_d2p60 2.8894616071800794 2.96722 0 2.14841 0 0.00298876 0
a18p1_d2p60 3.3516291313383344 2.95682 0 2.1563 0 0.00698729 0
