a13p10_d6p61 Sn-Sn 5.54892 0.83015 3.41919 0.00800695 0.0891168 0.00110927
a13p5_d6p04 Sn-Sn 5.38268 0.709534 3.50641 0.00745434 0.0921479 0.00117756
a13p9_d5p53 Sn-Sn 4.99226 0.675991 3.54835 0.00892199 0.0944159 0.00156194
a14p1_d5p30 Sn-Sn 4.76955 0.65387 3.56449 0.00962205 0.0951565 0.00163874
a14p3_d5p08 Sn-Sn 4.65291 0.578802 3.57586 0.0091445 0.0968555 0.00174779
a14p5_d4p87 Sn-Sn 4.40401 0.598178 3.57429 0.0104149 0.098152 0.00195967
a14p7_d4p68 Sn-Sn 4.31327 0.516121 3.58684 0.00972687 0.0961258 0.00200447
a14p9_d4p49 Sn-Sn 4.16611 0.467481 3.59241 0.00981816 0.0968151 0.00220417
a15p1_d4p32 Sn-Sn 4.04155 0.483181 3.59711 0.0109477 0.0990274 0.0024215
a15p5_d3p99 Sn-Sn 3.80308 0.422456 3.59319 0.010966 0.0985276 0.00258974
a15p9_d3p70 Sn-Sn 3.70079 0.402544 3.60181 0.0146298 0.0958451 0.00258422
a16p3_d3p43 Sn-Sn 3.55437 0.391987 3.59249 0.0143369 0.0981678 0.00295009
a16p7_d3p19 Sn-Sn 3.51301 0.368403 3.59375 0.0127184 0.0927185 0.00288454
a17p1_d2p97 Sn-Sn 3.42991 0.348723 3.59551 0.0117621 0.0957488 0.00295016
a17p5_d2p77 Sn-Sn 3.41352 0.328774 3.58971 0.0181006 0.0945066 0.00303754
a17p9_d2p59 Sn-Sn 3.39394 0.347085 3.5851 0.0344076 0.094482 0.00298344
a18p3_d2p425 Sn-Sn 3.40287 0.323741 3.60122 0.0145707 0.0918331 0.00290013
a18p7_d2p27 Sn-Sn 3.31188 0.312708 3.59017 0.0145664 0.0926825 0.00300457
a19p1_d2p13 Sn-Sn 3.26393 0.317815 3.58695 0.0288263 0.0903678 0.00303636
